id,Year,STATE
AK2021,2021,AK
AL2021,2021,AL
AR2021,2021,AR
AZ2021,2021,AZ
CA2021,2021,CA
CO2021,2021,CO
CT2021,2021,CT
DC2021,2021,DC
DE2021,2021,DE
FL2021,2021,FL
GA2021,2021,GA
HI2021,2021,HI
IA2021,2021,IA
ID2021,2021,ID
IL2021,2021,IL
IN2021,2021,IN
KS2021,2021,KS
KY2021,2021,KY
LA2021,2021,LA
MA2021,2021,MA
MD2021,2021,MD
ME2021,2021,ME
MI2021,2021,MI
MN2021,2021,MN
MO2021,2021,MO
MS2021,2021,MS
MT2021,2021,MT
NC2021,2021,NC
ND2021,2021,ND
NE2021,2021,NE
NH2021,2021,NH
NJ2021,2021,NJ
NM2021,2021,NM
NV2021,2021,NV
NY2021,2021,NY
OH2021,2021,OH
OK2021,2021,OK
OR2021,2021,OR
PA2021,2021,PA
RI2021,2021,RI
SC2021,2021,SC
SD2021,2021,SD
TN2021,2021,TN
TX2021,2021,TX
UT2021,2021,UT
VA2021,2021,VA
VT2021,2021,VT
WA2021,2021,WA
WI2021,2021,WI
WV2021,2021,WV
WY2021,2021,WY
US2021,2021,US
AK2020,2020,AK
AL2020,2020,AL
AR2020,2020,AR
AZ2020,2020,AZ
CA2020,2020,CA
CO2020,2020,CO
CT2020,2020,CT
DC2020,2020,DC
DE2020,2020,DE
FL2020,2020,FL
GA2020,2020,GA
HI2020,2020,HI
IA2020,2020,IA
ID2020,2020,ID
IL2020,2020,IL
IN2020,2020,IN
KS2020,2020,KS
KY2020,2020,KY
LA2020,2020,LA
MA2020,2020,MA
MD2020,2020,MD
ME2020,2020,ME
MI2020,2020,MI
MN2020,2020,MN
MO2020,2020,MO
MS2020,2020,MS
MT2020,2020,MT
NC2020,2020,NC
ND2020,2020,ND
NE2020,2020,NE
NH2020,2020,NH
NJ2020,2020,NJ
NM2020,2020,NM
NV2020,2020,NV
NY2020,2020,NY
OH2020,2020,OH
OK2020,2020,OK
OR2020,2020,OR
PA2020,2020,PA
RI2020,2020,RI
SC2020,2020,SC
SD2020,2020,SD
TN2020,2020,TN
TX2020,2020,TX
UT2020,2020,UT
VA2020,2020,VA
VT2020,2020,VT
WA2020,2020,WA
WI2020,2020,WI
WV2020,2020,WV
WY2020,2020,WY
US2020,2020,US
AK2019,2019,AK
AL2019,2019,AL
AR2019,2019,AR
AZ2019,2019,AZ
CA2019,2019,CA
CO2019,2019,CO
CT2019,2019,CT
DC2019,2019,DC
DE2019,2019,DE
FL2019,2019,FL
GA2019,2019,GA
HI2019,2019,HI
IA2019,2019,IA
ID2019,2019,ID
IL2019,2019,IL
IN2019,2019,IN
KS2019,2019,KS
KY2019,2019,KY
LA2019,2019,LA
MA2019,2019,MA
MD2019,2019,MD
ME2019,2019,ME
MI2019,2019,MI
MN2019,2019,MN
MO2019,2019,MO
MS2019,2019,MS
MT2019,2019,MT
NC2019,2019,NC
ND2019,2019,ND
NE2019,2019,NE
NH2019,2019,NH
NJ2019,2019,NJ
NM2019,2019,NM
NV2019,2019,NV
NY2019,2019,NY
OH2019,2019,OH
OK2019,2019,OK
OR2019,2019,OR
PA2019,2019,PA
RI2019,2019,RI
SC2019,2019,SC
SD2019,2019,SD
TN2019,2019,TN
TX2019,2019,TX
UT2019,2019,UT
VA2019,2019,VA
VT2019,2019,VT
WA2019,2019,WA
WI2019,2019,WI
WV2019,2019,WV
WY2019,2019,WY
US2019,2019,US
AK2018,2018,AK
AL2018,2018,AL
AR2018,2018,AR
AZ2018,2018,AZ
CA2018,2018,CA
CO2018,2018,CO
CT2018,2018,CT
DC2018,2018,DC
DE2018,2018,DE
FL2018,2018,FL
GA2018,2018,GA
HI2018,2018,HI
IA2018,2018,IA
ID2018,2018,ID
IL2018,2018,IL
IN2018,2018,IN
KS2018,2018,KS
KY2018,2018,KY
LA2018,2018,LA
MA2018,2018,MA
MD2018,2018,MD
ME2018,2018,ME
MI2018,2018,MI
MN2018,2018,MN
MO2018,2018,MO
MS2018,2018,MS
MT2018,2018,MT
NC2018,2018,NC
ND2018,2018,ND
NE2018,2018,NE
NH2018,2018,NH
NJ2018,2018,NJ
NM2018,2018,NM
NV2018,2018,NV
NY2018,2018,NY
OH2018,2018,OH
OK2018,2018,OK
OR2018,2018,OR
PA2018,2018,PA
RI2018,2018,RI
SC2018,2018,SC
SD2018,2018,SD
TN2018,2018,TN
TX2018,2018,TX
UT2018,2018,UT
VA2018,2018,VA
VT2018,2018,VT
WA2018,2018,WA
WI2018,2018,WI
WV2018,2018,WV
WY2018,2018,WY
US2018,2018,US
AK2017,2017,AK
AL2017,2017,AL
AR2017,2017,AR
AZ2017,2017,AZ
CA2017,2017,CA
CO2017,2017,CO
CT2017,2017,CT
DC2017,2017,DC
DE2017,2017,DE
FL2017,2017,FL
GA2017,2017,GA
HI2017,2017,HI
IA2017,2017,IA
ID2017,2017,ID
IL2017,2017,IL
IN2017,2017,IN
KS2017,2017,KS
KY2017,2017,KY
LA2017,2017,LA
MA2017,2017,MA
MD2017,2017,MD
ME2017,2017,ME
MI2017,2017,MI
MN2017,2017,MN
MO2017,2017,MO
MS2017,2017,MS
MT2017,2017,MT
NC2017,2017,NC
ND2017,2017,ND
NE2017,2017,NE
NH2017,2017,NH
NJ2017,2017,NJ
NM2017,2017,NM
NV2017,2017,NV
NY2017,2017,NY
OH2017,2017,OH
OK2017,2017,OK
OR2017,2017,OR
PA2017,2017,PA
RI2017,2017,RI
SC2017,2017,SC
SD2017,2017,SD
TN2017,2017,TN
TX2017,2017,TX
UT2017,2017,UT
VA2017,2017,VA
VT2017,2017,VT
WA2017,2017,WA
WI2017,2017,WI
WV2017,2017,WV
WY2017,2017,WY
US2017,2017,US
AK2016,2016,AK
AL2016,2016,AL
AR2016,2016,AR
AZ2016,2016,AZ
CA2016,2016,CA
CO2016,2016,CO
CT2016,2016,CT
DC2016,2016,DC
DE2016,2016,DE
FL2016,2016,FL
GA2016,2016,GA
HI2016,2016,HI
IA2016,2016,IA
ID2016,2016,ID
IL2016,2016,IL
IN2016,2016,IN
KS2016,2016,KS
KY2016,2016,KY
LA2016,2016,LA
MA2016,2016,MA
MD2016,2016,MD
ME2016,2016,ME
MI2016,2016,MI
MN2016,2016,MN
MO2016,2016,MO
MS2016,2016,MS
MT2016,2016,MT
NC2016,2016,NC
ND2016,2016,ND
NE2016,2016,NE
NH2016,2016,NH
NJ2016,2016,NJ
NM2016,2016,NM
NV2016,2016,NV
NY2016,2016,NY
OH2016,2016,OH
OK2016,2016,OK
OR2016,2016,OR
PA2016,2016,PA
RI2016,2016,RI
SC2016,2016,SC
SD2016,2016,SD
TN2016,2016,TN
TX2016,2016,TX
UT2016,2016,UT
VA2016,2016,VA
VT2016,2016,VT
WA2016,2016,WA
WI2016,2016,WI
WV2016,2016,WV
WY2016,2016,WY
US2016,2016,US
AK2015,2015,AK
AL2015,2015,AL
AR2015,2015,AR
AZ2015,2015,AZ
CA2015,2015,CA
CO2015,2015,CO
CT2015,2015,CT
DC2015,2015,DC
DE2015,2015,DE
FL2015,2015,FL
GA2015,2015,GA
HI2015,2015,HI
IA2015,2015,IA
ID2015,2015,ID
IL2015,2015,IL
IN2015,2015,IN
KS2015,2015,KS
KY2015,2015,KY
LA2015,2015,LA
MA2015,2015,MA
MD2015,2015,MD
ME2015,2015,ME
MI2015,2015,MI
MN2015,2015,MN
MO2015,2015,MO
MS2015,2015,MS
MT2015,2015,MT
NC2015,2015,NC
ND2015,2015,ND
NE2015,2015,NE
NH2015,2015,NH
NJ2015,2015,NJ
NM2015,2015,NM
NV2015,2015,NV
NY2015,2015,NY
OH2015,2015,OH
OK2015,2015,OK
OR2015,2015,OR
PA2015,2015,PA
RI2015,2015,RI
SC2015,2015,SC
SD2015,2015,SD
TN2015,2015,TN
TX2015,2015,TX
UT2015,2015,UT
VA2015,2015,VA
VT2015,2015,VT
WA2015,2015,WA
WI2015,2015,WI
WV2015,2015,WV
WY2015,2015,WY
US2015,2015,US
AK2014,2014,AK
AL2014,2014,AL
AR2014,2014,AR
AZ2014,2014,AZ
CA2014,2014,CA
CO2014,2014,CO
CT2014,2014,CT
DC2014,2014,DC
DE2014,2014,DE
FL2014,2014,FL
GA2014,2014,GA
HI2014,2014,HI
IA2014,2014,IA
ID2014,2014,ID
IL2014,2014,IL
IN2014,2014,IN
KS2014,2014,KS
KY2014,2014,KY
LA2014,2014,LA
MA2014,2014,MA
MD2014,2014,MD
ME2014,2014,ME
MI2014,2014,MI
MN2014,2014,MN
MO2014,2014,MO
MS2014,2014,MS
MT2014,2014,MT
NC2014,2014,NC
ND2014,2014,ND
NE2014,2014,NE
NH2014,2014,NH
NJ2014,2014,NJ
NM2014,2014,NM
NV2014,2014,NV
NY2014,2014,NY
OH2014,2014,OH
OK2014,2014,OK
OR2014,2014,OR
PA2014,2014,PA
RI2014,2014,RI
SC2014,2014,SC
SD2014,2014,SD
TN2014,2014,TN
TX2014,2014,TX
UT2014,2014,UT
VA2014,2014,VA
VT2014,2014,VT
WA2014,2014,WA
WI2014,2014,WI
WV2014,2014,WV
WY2014,2014,WY
US2014,2014,US
AK2013,2013,AK
AL2013,2013,AL
AR2013,2013,AR
AZ2013,2013,AZ
CA2013,2013,CA
CO2013,2013,CO
CT2013,2013,CT
DC2013,2013,DC
DE2013,2013,DE
FL2013,2013,FL
GA2013,2013,GA
HI2013,2013,HI
IA2013,2013,IA
ID2013,2013,ID
IL2013,2013,IL
IN2013,2013,IN
KS2013,2013,KS
KY2013,2013,KY
LA2013,2013,LA
MA2013,2013,MA
MD2013,2013,MD
ME2013,2013,ME
MI2013,2013,MI
MN2013,2013,MN
MO2013,2013,MO
MS2013,2013,MS
MT2013,2013,MT
NC2013,2013,NC
ND2013,2013,ND
NE2013,2013,NE
NH2013,2013,NH
NJ2013,2013,NJ
NM2013,2013,NM
NV2013,2013,NV
NY2013,2013,NY
OH2013,2013,OH
OK2013,2013,OK
OR2013,2013,OR
PA2013,2013,PA
RI2013,2013,RI
SC2013,2013,SC
SD2013,2013,SD
TN2013,2013,TN
TX2013,2013,TX
UT2013,2013,UT
VA2013,2013,VA
VT2013,2013,VT
WA2013,2013,WA
WI2013,2013,WI
WV2013,2013,WV
WY2013,2013,WY
US2013,2013,US
AK2012,2012,AK
AL2012,2012,AL
AR2012,2012,AR
AZ2012,2012,AZ
CA2012,2012,CA
CO2012,2012,CO
CT2012,2012,CT
DC2012,2012,DC
DE2012,2012,DE
FL2012,2012,FL
GA2012,2012,GA
HI2012,2012,HI
IA2012,2012,IA
ID2012,2012,ID
IL2012,2012,IL
IN2012,2012,IN
KS2012,2012,KS
KY2012,2012,KY
LA2012,2012,LA
MA2012,2012,MA
MD2012,2012,MD
ME2012,2012,ME
MI2012,2012,MI
MN2012,2012,MN
MO2012,2012,MO
MS2012,2012,MS
MT2012,2012,MT
NC2012,2012,NC
ND2012,2012,ND
NE2012,2012,NE
NH2012,2012,NH
NJ2012,2012,NJ
NM2012,2012,NM
NV2012,2012,NV
NY2012,2012,NY
OH2012,2012,OH
OK2012,2012,OK
OR2012,2012,OR
PA2012,2012,PA
RI2012,2012,RI
SC2012,2012,SC
SD2012,2012,SD
TN2012,2012,TN
TX2012,2012,TX
UT2012,2012,UT
VA2012,2012,VA
VT2012,2012,VT
WA2012,2012,WA
WI2012,2012,WI
WV2012,2012,WV
WY2012,2012,WY
US2012,2012,US
AK2011,2011,AK
AL2011,2011,AL
AR2011,2011,AR
AZ2011,2011,AZ
CA2011,2011,CA
CO2011,2011,CO
CT2011,2011,CT
DC2011,2011,DC
DE2011,2011,DE
FL2011,2011,FL
GA2011,2011,GA
HI2011,2011,HI
IA2011,2011,IA
ID2011,2011,ID
IL2011,2011,IL
IN2011,2011,IN
KS2011,2011,KS
KY2011,2011,KY
LA2011,2011,LA
MA2011,2011,MA
MD2011,2011,MD
ME2011,2011,ME
MI2011,2011,MI
MN2011,2011,MN
MO2011,2011,MO
MS2011,2011,MS
MT2011,2011,MT
NC2011,2011,NC
ND2011,2011,ND
NE2011,2011,NE
NH2011,2011,NH
NJ2011,2011,NJ
NM2011,2011,NM
NV2011,2011,NV
NY2011,2011,NY
OH2011,2011,OH
OK2011,2011,OK
OR2011,2011,OR
PA2011,2011,PA
RI2011,2011,RI
SC2011,2011,SC
SD2011,2011,SD
TN2011,2011,TN
TX2011,2011,TX
UT2011,2011,UT
VA2011,2011,VA
VT2011,2011,VT
WA2011,2011,WA
WI2011,2011,WI
WV2011,2011,WV
WY2011,2011,WY
US2011,2011,US
AK2010,2010,AK
AL2010,2010,AL
AR2010,2010,AR
AZ2010,2010,AZ
CA2010,2010,CA
CO2010,2010,CO
CT2010,2010,CT
DC2010,2010,DC
DE2010,2010,DE
FL2010,2010,FL
GA2010,2010,GA
HI2010,2010,HI
IA2010,2010,IA
ID2010,2010,ID
IL2010,2010,IL
IN2010,2010,IN
KS2010,2010,KS
KY2010,2010,KY
LA2010,2010,LA
MA2010,2010,MA
MD2010,2010,MD
ME2010,2010,ME
MI2010,2010,MI
MN2010,2010,MN
MO2010,2010,MO
MS2010,2010,MS
MT2010,2010,MT
NC2010,2010,NC
ND2010,2010,ND
NE2010,2010,NE
NH2010,2010,NH
NJ2010,2010,NJ
NM2010,2010,NM
NV2010,2010,NV
NY2010,2010,NY
OH2010,2010,OH
OK2010,2010,OK
OR2010,2010,OR
PA2010,2010,PA
RI2010,2010,RI
SC2010,2010,SC
SD2010,2010,SD
TN2010,2010,TN
TX2010,2010,TX
UT2010,2010,UT
VA2010,2010,VA
VT2010,2010,VT
WA2010,2010,WA
WI2010,2010,WI
WV2010,2010,WV
WY2010,2010,WY
US2010,2010,US
